id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,cluster_label
000cWn6wvyXgeeTlT6wYGW,Dohre Mahiye,Atta Ullah Khan Esakhelvi,"['ghazal', 'qawwali']",0.309,0.546,7,-8.073,1,0.0316,0.862,1.18e-06,0.0967,0.453,84.557,1129670,4,3,Acoustic Chill
00AvRdWAm4Vk1aBvYSlrSp,Super Man,Alisha Chinai,['bollywood'],0.511,0.771,10,-8.615,1,0.0505,0.337,1.09e-06,0.601,0.745,157.496,290027,4,0,Energetic Happy
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),Cardi B,[],0.62,0.625,9,-7.438,1,0.553,0.287,0.0,0.314,0.665,167.911,284856,4,2,Instrumental Calm
00CfiYZe1A4CnC6ZAkzAv6,Sagar Ke Jaisa Hai,Runa Laila,['ghazal'],0.515,0.568,6,-10.213,0,0.0377,0.705,9.46e-06,0.553,0.783,121.808,473678,4,0,Energetic Happy
00JEiwt4RLRbK4HEVkTHwc,Jump (feat. Kirko Bangz and Sage The Gemini),Derek King,['pop'],0.711,0.642,4,-5.315,0,0.0287,0.00367,0.0,0.0809,0.256,97.942,208867,4,2,Instrumental Calm
00VvxxVsjUuMbW7Cv9xMxT,Haje Latha Nahio Akhiyan Da Cha,Nusrat Fateh Ali Khan,"['sufi', 'qawwali']",0.463,0.506,1,-14.659,1,0.0504,0.271,1.79e-05,0.889,0.724,100.532,286342,4,0,Energetic Happy
00ZYq3QG6VzeWF8R8V0qJ7,Sita Bhi Jahan Sukh Paa Na Saki - Lakshmi / Soundtrack Version,Mahendra Kapoor,['bollywood'],0.549,0.304,9,-14.172,1,0.0299,0.942,0.0705,0.0918,0.399,94.099,383813,4,1,Dance Party
00ixZkinakaeqDca5KP9Av,Diamantes,La Puri,['pop'],0.828,0.673,7,-6.085,1,0.109,0.205,1.89e-05,0.0834,0.595,103.991,198462,4,2,Instrumental Calm
00uNGkRrqfbjNLHUhTL4OT,Kahani Pyar Ki,Pankaj Udhas,['ghazal'],0.493,0.391,0,-13.795,1,0.114,0.0752,0.0,0.0749,0.46,82.506,450445,4,1,Dance Party
00vTwnRP7Gf4OzPCmDb3HW,Nit Khair Manga Sohneya,Nusrat Fateh Ali Khan,['qawwali'],0.403,0.565,5,-15.817,1,0.0821,0.225,0.0,0.604,0.843,105.268,919532,4,3,Acoustic Chill
